"Statistic","CensusYear","Age Group","County and City","Socio Economic Group","Labour Force","UNIT","VALUE"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","J. Agricultural workers","All persons aged 15 years and over","Number","3373"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","J. Agricultural workers","Persons at work","Number","2356"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","J. Agricultural workers","All unemployed persons","Number","496"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","521"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","85739"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","Z. All others gainfully occupied and unknown","Persons at work","Number","18707"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","Z. All others gainfully occupied and unknown","All unemployed persons","Number","24152"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","State","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","42880"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","All socio-economic groups","All persons aged 15 years and over","Number","8240"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","All socio-economic groups","Persons at work","Number","5326"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","All socio-economic groups","All unemployed persons","Number","1283"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","1631"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","A. Employers and managers","All persons aged 15 years and over","Number","1184"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","A. Employers and managers","Persons at work","Number","898"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","A. Employers and managers","All unemployed persons","Number","105"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","181"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","B. Higher professional","All persons aged 15 years and over","Number","436"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","B. Higher professional","Persons at work","Number","347"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","B. Higher professional","All unemployed persons","Number","29"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","B. Higher professional","All persons aged 15 years and over not in labour force","Number","60"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","C. Lower professional","All persons aged 15 years and over","Number","906"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","C. Lower professional","Persons at work","Number","768"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","C. Lower professional","All unemployed persons","Number","48"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","C. Lower professional","All persons aged 15 years and over not in labour force","Number","90"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","D. Non-manual","All persons aged 15 years and over","Number","1522"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","D. Non-manual","Persons at work","Number","1191"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","D. Non-manual","All unemployed persons","Number","168"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","D. Non-manual","All persons aged 15 years and over not in labour force","Number","163"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","E. Manual skilled","All persons aged 15 years and over","Number","974"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","E. Manual skilled","Persons at work","Number","538"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","E. Manual skilled","All unemployed persons","Number","239"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","E. Manual skilled","All persons aged 15 years and over not in labour force","Number","197"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","F. Semi-skilled","All persons aged 15 years and over","Number","828"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","F. Semi-skilled","Persons at work","Number","574"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","F. Semi-skilled","All unemployed persons","Number","148"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","F. Semi-skilled","All persons aged 15 years and over not in labour force","Number","106"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","G. Unskilled","All persons aged 15 years and over","Number","294"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","G. Unskilled","Persons at work","Number","162"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","G. Unskilled","All unemployed persons","Number","79"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","G. Unskilled","All persons aged 15 years and over not in labour force","Number","53"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","H. Own account workers","All persons aged 15 years and over","Number","460"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","H. Own account workers","Persons at work","Number","292"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","H. Own account workers","All unemployed persons","Number","79"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","H. Own account workers","All persons aged 15 years and over not in labour force","Number","89"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","I. Farmers","All persons aged 15 years and over","Number","326"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","I. Farmers","Persons at work","Number","262"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","I. Farmers","All unemployed persons","Number","6"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","I. Farmers","All persons aged 15 years and over not in labour force","Number","58"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","J. Agricultural workers","All persons aged 15 years and over","Number","67"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","J. Agricultural workers","Persons at work","Number","45"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","J. Agricultural workers","All unemployed persons","Number","9"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","J. Agricultural workers","All persons aged 15 years and over not in labour force","Number","13"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","Z. All others gainfully occupied and unknown","All persons aged 15 years and over","Number","1243"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","Z. All others gainfully occupied and unknown","Persons at work","Number","249"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","Z. All others gainfully occupied and unknown","All unemployed persons","Number","373"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Carlow","Z. All others gainfully occupied and unknown","All persons aged 15 years and over not in labour force","Number","621"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","All socio-economic groups","All persons aged 15 years and over","Number","76790"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","All socio-economic groups","Persons at work","Number","53640"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","All socio-economic groups","All unemployed persons","Number","11073"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","All socio-economic groups","All persons aged 15 years and over not in labour force","Number","12077"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","A. Employers and managers","All persons aged 15 years and over","Number","12848"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","A. Employers and managers","Persons at work","Number","10747"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","A. Employers and managers","All unemployed persons","Number","851"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","A. Employers and managers","All persons aged 15 years and over not in labour force","Number","1250"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","B. Higher professional","All persons aged 15 years and over","Number","7907"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","B. Higher professional","Persons at work","Number","6882"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","B. Higher professional","All unemployed persons","Number","407"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","B. Higher professional","All persons aged 15 years and over not in labour force","Number","618"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","C. Lower professional","All persons aged 15 years and over","Number","10957"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","C. Lower professional","Persons at work","Number","9490"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","C. Lower professional","All unemployed persons","Number","762"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","C. Lower professional","All persons aged 15 years and over not in labour force","Number","705"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","D. Non-manual","All persons aged 15 years and over","Number","14886"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","D. Non-manual","Persons at work","Number","12192"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","D. Non-manual","All unemployed persons","Number","1699"
"Population Aged 15 Years and Over 2011 to 2016","2011","35 - 44 years","Dublin City","D. Non-manual","All persons aged 15 years and over not in labour force","Number","995"
